;signal_strength;attention;meditation;delta;theta;low_alpha;high_alpha;low_beta;high_beta;low_gamma;high_gamma;time
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;74.0;63.0;14217.0;13035.0;10995.0;17882.0;5724.0;9375.0;3555.0;153354.0;1.0
2;0.0;77.0;56.0;6113.0;13873.0;11252.0;3057.0;13871.0;5642.0;5830.0;153514.0;2.0
3;0.0;78.0;56.0;4151.0;23123.0;4128.0;7101.0;5551.0;7701.0;7375.0;154597.0;3.0
4;0.0;83.0;60.0;7705.0;11321.0;4617.0;5408.0;9534.0;8120.0;3500.0;163239.0;4.0
5;0.0;78.0;48.0;46526.0;11345.0;998.0;4074.0;2765.0;2329.0;2944.0;46505.0;5.0
6;0.0;74.0;44.0;22785.0;28858.0;5567.0;3949.0;3222.0;5405.0;5258.0;154712.0;6.0
7;0.0;67.0;53.0;2093.0;14653.0;12565.0;6273.0;3465.0;4733.0;8147.0;145747.0;7.0
8;0.0;61.0;60.0;263827.0;23989.0;16483.0;12620.0;11661.0;9065.0;4678.0;189925.0;8.0
9;0.0;53.0;61.0;45801.0;27662.0;2447.0;9948.0;4286.0;2005.0;757.0;37341.0;9.0
10;0.0;54.0;61.0;317528.0;23593.0;5340.0;2188.0;1826.0;4804.0;2201.0;41066.0;10.0
11;0.0;57.0;57.0;28237.0;21106.0;2182.0;16231.0;4406.0;7649.0;4031.0;180566.0;11.0
12;0.0;67.0;48.0;7475.0;16528.0;1015.0;9034.0;8370.0;16828.0;2128.0;160505.0;12.0
13;0.0;80.0;48.0;8837.0;14024.0;9322.0;1084.0;10127.0;4200.0;3375.0;196234.0;13.0
14;0.0;87.0;54.0;2242.0;13817.0;11238.0;5853.0;7002.0;11084.0;16713.0;146569.0;14.0
15;0.0;87.0;60.0;3092.0;11803.0;12081.0;6691.0;5136.0;6360.0;3502.0;168264.0;15.0
16;0.0;83.0;66.0;6033.0;7854.0;7517.0;1373.0;2459.0;7800.0;7005.0;180112.0;16.0
17;0.0;88.0;61.0;12198.0;14110.0;2967.0;1279.0;2898.0;5862.0;7871.0;186456.0;17.0
18;0.0;87.0;67.0;6793.0;10924.0;8758.0;18872.0;4213.0;9427.0;7406.0;126805.0;18.0
19;0.0;69.0;63.0;651483.0;80366.0;30901.0;7614.0;4031.0;3531.0;6291.0;158255.0;19.0
20;0.0;48.0;53.0;26743.0;67914.0;1216.0;13683.0;2731.0;3479.0;4897.0;155407.0;20.0
21;0.0;37.0;77.0;44569.0;11927.0;50801.0;6049.0;8812.0;5023.0;5078.0;169736.0;21.0
22;0.0;26.0;54.0;346577.0;27965.0;1668.0;2033.0;4041.0;2454.0;1361.0;31326.0;22.0
23;0.0;44.0;50.0;61177.0;22992.0;6305.0;5434.0;5694.0;10184.0;11841.0;126287.0;23.0
24;0.0;57.0;50.0;22615.0;28057.0;1178.0;6079.0;5246.0;7294.0;9572.0;167988.0;24.0
25;0.0;64.0;35.0;8640.0;12707.0;6051.0;2646.0;5909.0;3406.0;5869.0;173290.0;25.0
26;0.0;80.0;53.0;5481.0;6912.0;4409.0;14561.0;9465.0;9639.0;4819.0;168471.0;26.0
27;0.0;69.0;69.0;188886.0;16233.0;36120.0;50600.0;25558.0;8895.0;7911.0;117446.0;27.0
28;0.0;66.0;69.0;25675.0;25927.0;4214.0;5585.0;14112.0;5032.0;3850.0;156130.0;28.0
29;0.0;69.0;75.0;16635.0;10869.0;17868.0;5652.0;12523.0;8806.0;6368.0;109137.0;29.0
30;0.0;67.0;74.0;8033.0;11749.0;9477.0;7004.0;8997.0;8019.0;3117.0;147821.0;30.0
31;0.0;75.0;74.0;7512.0;11568.0;19107.0;18317.0;3003.0;9510.0;5578.0;150402.0;31.0
32;0.0;81.0;81.0;26932.0;13439.0;5804.0;8393.0;3890.0;8178.0;3468.0;143116.0;32.0
33;0.0;70.0;67.0;608255.0;55626.0;3883.0;7494.0;10161.0;4896.0;7545.0;129421.0;33.0
34;0.0;66.0;57.0;65366.0;24822.0;995.0;7027.0;3056.0;5951.0;4278.0;144796.0;34.0
35;0.0;60.0;38.0;29523.0;84677.0;5490.0;12702.0;10694.0;9269.0;3404.0;133361.0;35.0
36;0.0;50.0;34.0;774720.0;177522.0;55584.0;30583.0;51415.0;24921.0;2040.0;77259.0;36.0
37;0.0;43.0;47.0;499031.0;6730.0;5056.0;717.0;1763.0;446.0;225.0;7586.0;37.0
38;0.0;50.0;53.0;136126.0;30978.0;11494.0;15640.0;3119.0;19727.0;7478.0;133282.0;38.0
39;0.0;48.0;57.0;33920.0;31082.0;8032.0;2954.0;5508.0;3582.0;4351.0;142742.0;39.0
40;0.0;47.0;63.0;1046545.0;35722.0;15905.0;16852.0;11023.0;5382.0;4342.0;93913.0;40.0
41;26.0;47.0;63.0;904465.0;15577.0;2139.0;5727.0;2254.0;2649.0;516.0;1436.0;41.0
42;0.0;48.0;50.0;1274245.0;271153.0;22014.0;26323.0;45472.0;13649.0;7819.0;60835.0;42.0
43;0.0;29.0;41.0;30440.0;9306.0;874.0;1472.0;597.0;402.0;316.0;4189.0;43.0
44;0.0;34.0;41.0;8497.0;760.0;191.0;151.0;290.0;137.0;70.0;2058.0;44.0
45;0.0;40.0;35.0;15079.0;3041.0;554.0;747.0;623.0;673.0;462.0;7964.0;45.0
46;0.0;53.0;41.0;63702.0;6375.0;1145.0;2035.0;3598.0;2111.0;872.0;36281.0;46.0
47;0.0;54.0;41.0;11979.0;31929.0;4219.0;5096.0;9367.0;1819.0;2511.0;78804.0;47.0
48;0.0;60.0;48.0;3648.0;4119.0;1565.0;6683.0;8801.0;3138.0;3392.0;90842.0;48.0
49;0.0;64.0;60.0;7663.0;9221.0;16156.0;6016.0;4444.0;7533.0;7519.0;109065.0;49.0
50;0.0;61.0;69.0;5548.0;12708.0;13121.0;6016.0;5405.0;5884.0;6462.0;124467.0;50.0
51;0.0;78.0;80.0;17634.0;12041.0;9314.0;9240.0;6442.0;8595.0;6768.0;140485.0;51.0
52;0.0;88.0;69.0;6755.0;10725.0;555.0;5676.0;5166.0;15573.0;10779.0;113114.0;52.0
53;0.0;81.0;70.0;70933.0;10260.0;16509.0;1631.0;2755.0;2652.0;871.0;23148.0;53.0
54;0.0;87.0;56.0;10249.0;40275.0;11027.0;1618.0;6843.0;14690.0;6069.0;128815.0;54.0
55;0.0;81.0;54.0;34897.0;26339.0;8911.0;13695.0;4570.0;8430.0;3278.0;123435.0;55.0
56;0.0;77.0;63.0;7156.0;5833.0;2658.0;7073.0;10145.0;7320.0;11525.0;110105.0;56.0
57;0.0;81.0;51.0;13702.0;9151.0;2706.0;1383.0;1431.0;2096.0;763.0;31917.0;57.0
58;0.0;66.0;69.0;35244.0;991.0;1212.0;624.0;285.0;151.0;202.0;5025.0;58.0
59;25.0;66.0;69.0;492710.0;21151.0;1590.0;10785.0;2489.0;2819.0;1999.0;35603.0;59.0
60;0.0;67.0;74.0;76995.0;11450.0;17155.0;3641.0;5582.0;7537.0;4975.0;107284.0;60.0
61;0.0;60.0;61.0;13045.0;23388.0;1689.0;1613.0;2359.0;4149.0;3707.0;142731.0;61.0
62;0.0;64.0;61.0;2239.0;12570.0;3992.0;5029.0;4917.0;6916.0;4396.0;148782.0;62.0
63;0.0;75.0;48.0;14338.0;24184.0;7091.0;3940.0;9711.0;6424.0;7695.0;148479.0;63.0
64;0.0;84.0;37.0;5329.0;14732.0;6855.0;1853.0;2949.0;16854.0;7584.0;138845.0;64.0
65;0.0;100.0;48.0;10713.0;5235.0;6890.0;7881.0;9018.0;19801.0;3254.0;166260.0;65.0
66;0.0;91.0;50.0;125667.0;67723.0;18373.0;14635.0;4176.0;11736.0;2461.0;137978.0;66.0
