;signal_strength;attention;meditation;delta;theta;low_alpha;high_alpha;low_beta;high_beta;low_gamma;high_gamma;time
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;26.0;0.0;0.0;105721.0;898189.0;28522.0;134313.0;3155.0;122224.0;6307.0;521302.0;1.0
2;26.0;0.0;0.0;202042.0;165631.0;70175.0;72826.0;32767.0;39987.0;89248.0;302259.0;2.0
3;26.0;0.0;0.0;81830.0;687259.0;10294.0;253772.0;1138.0;110160.0;1814.0;462326.0;3.0
4;26.0;0.0;0.0;863135.0;551398.0;158721.0;218286.0;39387.0;50649.0;21978.0;298728.0;4.0
5;26.0;0.0;0.0;1142895.0;979906.0;110107.0;767944.0;33448.0;290369.0;8529.0;1731283.0;5.0
6;26.0;0.0;0.0;129985.0;281983.0;19792.0;96453.0;12625.0;82378.0;17168.0;248707.0;6.0
7;25.0;0.0;0.0;393888.0;201843.0;106239.0;64407.0;29808.0;21341.0;2308.0;124309.0;7.0
8;26.0;0.0;0.0;396934.0;1261558.0;47963.0;687885.0;14108.0;302374.0;7147.0;1262843.0;8.0
9;26.0;0.0;0.0;99003.0;382722.0;2577.0;79792.0;7872.0;106905.0;1730.0;426036.0;9.0
10;26.0;0.0;0.0;183898.0;402154.0;2036.0;158099.0;6979.0;88743.0;10433.0;376773.0;10.0
11;26.0;0.0;0.0;153054.0;339684.0;14391.0;199071.0;1394.0;95851.0;5320.0;415991.0;11.0
12;26.0;0.0;0.0;1833169.0;942061.0;41106.0;638976.0;9462.0;409086.0;5029.0;1673482.0;12.0
13;26.0;0.0;0.0;1471254.0;639842.0;83408.0;960448.0;14157.0;332051.0;6309.0;1917693.0;13.0
14;26.0;0.0;0.0;209268.0;348393.0;6355.0;192867.0;3713.0;86709.0;1055.0;470250.0;14.0
15;26.0;0.0;0.0;1175978.0;985557.0;26479.0;442076.0;2666.0;466506.0;4257.0;1729322.0;15.0
16;26.0;0.0;0.0;62290.0;772034.0;8039.0;111928.0;1408.0;96031.0;1696.0;416252.0;16.0
17;26.0;0.0;0.0;53791.0;1046262.0;10558.0;237866.0;2238.0;61489.0;3070.0;439719.0;17.0
18;26.0;0.0;0.0;1922098.0;542465.0;12188.0;312749.0;23334.0;384880.0;4336.0;1585139.0;18.0
19;26.0;0.0;0.0;645846.0;593851.0;156626.0;207574.0;4189.0;243865.0;3245.0;1405152.0;19.0
20;26.0;0.0;0.0;20854.0;574054.0;14438.0;174211.0;1911.0;64846.0;673.0;349642.0;20.0
21;26.0;0.0;0.0;91332.0;283817.0;964.0;62037.0;1646.0;81175.0;1863.0;326707.0;21.0
22;0.0;0.0;0.0;592945.0;305826.0;6097.0;285282.0;24129.0;212720.0;7459.0;954949.0;22.0
23;26.0;0.0;0.0;102219.0;189888.0;21395.0;40151.0;2277.0;13895.0;518.0;140571.0;23.0
24;51.0;0.0;0.0;643443.0;310061.0;76589.0;27814.0;14228.0;43407.0;11028.0;241238.0;24.0
25;26.0;0.0;0.0;177961.0;169487.0;10817.0;53903.0;1094.0;91681.0;2558.0;401160.0;25.0
26;26.0;0.0;0.0;1312193.0;852971.0;100244.0;797727.0;15953.0;350993.0;8995.0;1739812.0;26.0
